"SBS1" "SBS5" "SBS40" "SBS12" "SBS16" "Stan_sig" "N2"
"PD60232b_lo0012" 0.129094098699597 0.217457236698986 0.505745197739365 0.0242294698899975 0.0380569491198444 0.0256481443609986 0.0597689034912106
"PD60232b_lo0013" 0.0909661502845265 0.527633666700294 0.115253508071746 0.0687000819437859 0.0722479674707596 0.0727718212991554 0.0524268042297326
"PD60232b_lo0014" 0.0682831706282926 0.437037921599174 0.216330207695528 0.0274886187813365 0.052379353979916 0.0632336567157953 0.135247070599958
"PD60232b_lo0015" 0.0975234747328238 0.427831401366268 0.260348611832042 0.0280644351296082 0.0614136438796485 0.027737353601522 0.0970810794580882
"PD60232b_lo0016" 0.0789601029038599 0.22379522480106 0.340775698385324 0.0659237931137305 0.089572056980684 0.0716667699543567 0.129306353860985
"PD60232b_lo0017" 0.177873498818746 0.297971469225939 0.231161892291121 0.0434962389546869 0.0630922052682356 0.107164477110621 0.0792402183306514
"PD60232b_lo0018" 0.081880233667287 0.225846065119731 0.469988703991905 0.0438892435879435 0.092789589984848 0.0490934479783562 0.0365127156699289
"PD60232b_lo0019" 0.0564642206271206 0.530084263275608 0.211506589072798 0.06628639279038 0.0430834215278571 0.0441986393806212 0.0483764733256152
"PD60232b_lo0020" 0.0806703511491602 0.376466901899356 0.169392268152209 0.0278802406629779 0.0460424314544331 0.150036342314161 0.149511464367703
"PD60232b_lo0021" 0.0697660077487904 0.394013034276034 0.206669072270859 0.0529299775767542 0.046416226923138 0.110543457860386 0.119662223344039
"PD60232b_lo0022" 0.0747217199902773 0.284139869962013 0.371804693271597 0.0365539777728284 0.0535505063299733 0.125072002076545 0.0541572305967649
"PD60232b_lo0023" 0.082294381972313 0.494771613877642 0.147913939479482 0.0439733675476137 0.0549720861507896 0.108095505870011 0.0679791051021494
"PD60232b_lo0024" 0.101896005877808 0.2517187160622 0.311615267607117 0.072086265947685 0.109796651838987 0.121899166132191 0.0309879265340133
"PD60233b_lo0001" 0.0884880633143753 0.325968027961049 0.253120039370625 0.0549304829060125 0.0823479484895408 0.09908019011678 0.0960652478416179
"PD60233b_lo0002" 0.0942180031610299 0.218239166778147 0.379652748535869 0.0476585925650718 0.100309390130549 0.0855757018745132 0.0743463969548206
"PD60233b_lo0003" 0.0397744125598629 0.179076883145798 0.496877657926495 0.0282779650731221 0.0872826117132738 0.146965938662909 0.0217445309185385
"PD60233b_lo0004" 0.0788406989617162 0.261756730568713 0.327258070054008 0.0415850136041642 0.130014102169437 0.074367406915055 0.0861779777269063
"PD60233b_lo0005" 0.0671211853514738 0.378685843294999 0.24069639530843 0.096094925020201 0.11399223982067 0.0369341982707566 0.0664752129334698
"PD60233b_lo0006" 0.0309745895409841 0.229412600626263 0.391759657917813 0.0891579743479149 0.0868807476035359 0.0975611222938459 0.0742533076696434
"PD60233b_lo0007" 0.065365823812784 0.307721251953063 0.322843390836937 0.038692435542229 0.182388103230414 0.0311812957685849 0.0518076988559886
"PD60233b_lo0008" 0.122996545441142 0.161215530694571 0.390603801929392 0.0302649952113074 0.092550921085983 0.0325496418830398 0.169818563754565
"PD60233b_lo0009" 0.120408496608323 0.308547783868004 0.246619051745332 0.0540945358177494 0.110706982338831 0.0548065642344903 0.104816585387269
"PD60233b_lo0010" 0.111808015305452 0.360148410112174 0.250464020948154 0.0333725576933816 0.0739878605430327 0.0695945496959142 0.100624585701892
"PD60233b_lo0011" 0.120492701678097 0.237428911402613 0.274692529052144 0.0285236828020913 0.0788377541032678 0.147736807842365 0.112287613119421
"PD60233b_lo0012" 0.0720093500348216 0.155827097312844 0.204374884791251 0.0629638442809815 0.157853251504601 0.0821204477128871 0.264851124362614
"PD60233b_lo0013" 0.0573453406838537 0.136454932216901 0.26373743819117 0.0747268935326525 0.154958172374313 0.130452274390659 0.182324948610451
"PD60233b_lo0014" 0.105966851598146 0.381239465007854 0.288964755729819 0.0290859027017819 0.0800242808057561 0.0835680304470574 0.0311507137095852
"PD60233b_lo0015" 0.0872985332240042 0.35057628355583 0.294513120570666 0.0248442195053686 0.0573402907298352 0.072561140786912 0.112866411627383
"PD60233b_lo0016" 0.0312453406897563 0.222629552466813 0.462274612004355 0.0968815231397055 0.0676106710614767 0.0686666431458134 0.0506916574920801
